"name","substanceId","casNo","ecNo","pubchem_cid","pubchem"
"caesalpinia decapetala leaf extract","82687","-","-",,
"caesalpinia echinata wood extract","82422","89958-05-4","289-627-0",,
"caesalpinia pulcherrima flower extract","94865",,,,
"caesalpinia sappan bark extract","55163","89958-14-5","289-637-5",,
"caesalpinia sappan extract","97988",,,,
"caesalpinia sappan stem extract","94558",,,,
"caesalpinia spinosa hydroxypropyltrimonium chloride","55167","-","-",,
"caffeine benzoate","32305","5743-17-9","227-257-3",,
"caffeine carboxylic acid","55169","652-37-9","211-490-2",,
"caffeine carboxyloyl sh-decapeptide-1","93317",,,,
"caffeine carboxyloyl tripeptide-37","90224",,,,
"caffeine salicylate","91749","5743-22-6",,,
"caffeoyl dipeptide-25 amide","90610",,,,
"caffeoyl dipeptide-30","95701",,,,
"caffeoyl hexapeptide-43","96349",,,,
"caffeoyl hexapeptide-48","90606",,,,
"caffeoyl hexapeptide-50","90898",,,,
"caffeoyl hexapeptide-56","91150",,,,
"caffeoyl hexapeptide-65","95419",,,,
"caffeoyl methoxytryptamine","92289","311312-27-3",,,
"caffeoyl oligopeptide-77","89336",,,,
"caffeoyl pentapeptide-20","90895",,,,
"caffeoyl pentapeptide-27","88672","-","-",,
"caffeoyl pentapeptide-4","95458",,,,
"caffeoyl sh-decapeptide-23","89187",,,,
"caffeoyl sh-decapeptide-9","92972",,,,
"caffeoyl sh-heptapeptide-13","89188",,,,
"caffeoyl sh-octapeptide-4","85822","-","-",,
"caffeoyl tetrapeptide-19 caffeamide","90897",,,,
"caffeoyl tripeptide-34","95457",,,,
"caffeoyl tripeptide-35","90896",,,,
"caffeoyl tripeptide-7","89906",,,,
"caffeyl glucoside","86700","-","-",,
"cajanus cajan leaf extract","55170",,,,
"cakile maritima extract","32306","84929-60-2","284-544-6",,
"calamine","74881","8011-96-9",,,
"calanthe discolor extract","55172",,,,
"calcite","55173","13397-26-7",,,
"calcium/magnesium hydroxyapatite","98613",,,,
"calcium/strontium hydroxyapatite","98614",,,,
"calcium aspartate","32311","21059-46-1","244-185-8",,
"calcium behenate","74885","3578-72-1","222-700-7",,
"calcium benzoate","32313","2090-05-3","218-235-4",,
"calcium beta-sitosteryl sulfate","55176",,,,
"calcium carboxymethyl cellulose","32315","9050-04-8","-",,
"calcium carrageenan","32316","9049-05-2",,,
"calcium caseinate","74890","9005-43-0",,,
"calcium cerium oxide","55177",,,,
"calcium cerium phosphate","95449","7790-76-3","232-221-5",,
"calcium chitosan","85265","-","-",,
"calcium citrate","32319","813-94-5","212-391-7",,
"calcium cyclamate","32320","139-06-0","205-349-4",,
"calcium dihydrogen phosphate","32321","7758-23-8","231-837-1",,
"calcium dna","55178",,,,
"calcium dodecylbenzenesulfonate","55179","26264-06-2","247-557-8",,
"calcium fluoride","32323","7789-75-5","232-188-7",,
"calcium fructoborate","55180","250141-42-5",,,
"calcium fructoheptonate","32324","206360-00-1",,,
"calcium glycinate","85630","35947-07-0","252-809-5",,
"calcium hexapeptide-11","85655","-","-",,
"calcium hydrolyzed collagen","87204","-","-",,
"calcium hydroxyapatite","90006","1306-06-5","215-145-7",,
"calcium hydroxymethylbutyrate","97674","35236-72-5","681-140-5",,
"calcium hypochlorite","83660","7778-54-3","231-908-7",,
"calcium laurate","74903","4696-56-4","225-166-3",,
"calcium lauroyl taurate","55181","138705-25-6",,,
"calcium lignosulfonate","32331","8061-52-7",,,
"calcium magnesium silicate","55182",,,,
"calcium monofluorophosphate","32332","7789-74-4","232-187-1",,
"calcium montanate","74906","68308-22-5 / 52258-47-6","269-637-1 / 257-794-9",,
"calcium myristate","74907","15284-51-2","239-328-6",,
"calcium paraben","32338","69959-44-0","274-235-4",,
"calcium phosphoryl oligosaccharides","85931","-","-",,
"calcium polygamma-glutamate","83881","648426-24-8","-",,
"calcium polyglutamate","86642","-","-",,
"calcium polyglutamate crosspolymer","86643","-","-",,
"calcium polyoxymethylene pyrrolidone","55184","142702-41-8",,,
"calcium potassium carbomer","55185","-","-",,
"calcium potassium sodium phosphate","91434","131862-42-5",,,
"calcium propionate","32341","4075-81-4","223-795-8",,
"calcium rna","55186",,,,
"calcium saccharin","32343","6485-34-3","229-349-9",,
"calcium salicylate","32344","824-35-1","212-525-4",,
"calcium sodium fluorophosphosilicate","96735",,,,
"calcium sorbate","32346","7492-55-9","231-321-6",,
"calcium starch isododecenylsuccinate","55189","194810-88-3",,,
"calcium starch octenylsuccinate","55190",,,,
"calcium sulfide","32350","20548-54-3","243-873-5",,
"calcium tartrate","55192","3164-34-9","221-621-5",,
"calcium thioglycolate hydroxide","82345","65208-41-5 / 29820-13-1","- / 249-881-5",,
"calcium titanate","32353","12049-50-2","234-988-1",,
"calcium trifluoroacetate","91151","60884-90-4",,,
"calcium undecylenate","32354","1322-14-1","215-331-8",,
"calcium xylenesulfonate","32355","28088-63-3","248-829-9",,
"calendula officinalis flower extract","74929","84776-23-8","283-949-5",,
"calendula officinalis flower oil","74930","84776-23-8 / 70892-20-5","283-949-5 / -",,
"calendula officinalis flower water","83485","84776-23-8","283-949-5",,
"calendula officinalis meristem cell extract","90326",,,,
"calendula officinalis seed oil","55194","84776-23-8","283-949-5",,
"calf blood extract","32360","68070-90-6","268-338-3",,
"calf serum","55195",,,,
"calf skin extract","32361","91081-63-9","293-670-0",,
"calliandra portoricensis symbiosome extract","86804","-","-",,
"calliblepharis ciliata extract","83390","-","-",,
"calliblepharis jubata extract","95194",,,,
"callicarpa dichotoma fruit extract","96666",,,,
"callicarpa macrophylla flower extract","86011","-","-",,
"callicarpa macrophylla fruit extract","98322",,,,
"callistephus chinensis leaf extract","90822",,,,
"callitris columellaris leaf/twig oil","95590","192526-11-7",,,
"callitris columellaris leaf/wood extract","94063",,,,
"callitris columellaris seed oil","93950",,,,
"callitris glaucophylla leaf extract","96475",,,,
"callitris intratropica wood oil","92571","180287-43-8",,,
"callitris quadrivalvis gum","74933","9000-57-1","232-547-8",,
"calluna vulgaris extract","83450","84603-54-3","283-255-2",,
"calluna vulgaris flower extract","55198","84603-54-3","283-255-2",,
"calluna vulgaris flower water","55199","84603-54-3","283-255-2",,
"calocedrus decurrens leaf/stem extract","82545","-","-",,
"calocedrus decurrens leaf/stem oil","55200","-","-",,
"calocedrus formosana leaf extract","94149",,,,
"calochortus tolmiei flower extract","95850",,,,
"calodendrum capense nut oil","55201",,,,
"calophyllum inophyllum leaf extract","85228","-","-",,
"calophyllum inophyllum seedcake powder","97982",,,,
"calophyllum inophyllum seed oil","55202","-","-",,
"calophyllum tacamahaca seed extract","85845","-","-",,
"calophyllum tacamahaca seed oil","55204","223748-12-7","-",,
"calothrix crustacea","92124",,,,
"calotropis procera callus extract","95369",,,,
"calycanthus praecox leaf extract","82292","-","-",,
"calycophyllum spruceanum bark extract","55205",,,,
"calystegia sepium extract","93111",,,,
"calystegia soldanella extract","95941",,,,
"camelina sativa seed extract","96209","223749-43-7","-",,
"camelina sativa seed oil","55206",,,,
"camelina sativa seed oil/palm oil aminopropanediol esters","88648","-","-",,
"camelina sativa seed oil ethyl esters","95599",,,,
"camelina seed oil glycereth-8 esters","98184",,,,
"camellia chekiangoleosa seed oil","83358","68916-73-4","-",,
"camellia euryoides leaf extract","94150",,,,
"camellia japonica albipetala leaf extract","86674","-","-",,
"camellia japonica callus extract","90510",,,,
"camellia japonica extract","86096","-","-",,
"camellia japonica flower juice","97230",,,,
"camellia japonica flower powder","86098","-","-",,
"camellia japonica flower water","55209","223748-13-8","-",,
"camellia japonica gamma-lactone","93542",,,,
"camellia japonica leaf/seed water","94064",,,,
"camellia japonica leaf cell extract","90303",,,,
"camellia japonica leaf water","97128",,,,
"camellia japonica leaf wax","95531",,,,
"camellia japonica meristem cell extract","90818",,,,
"camellia japonica ovary powder","86097","-","-",,
"camellia japonica phytoplacenta extract","90609",,,,
"camellia japonica seedcake extract","83781","223748-13-8","-",,
"camellia japonica seedcoat powder","86099","-","-",,
"camellia japonica seed extract","55211","223748-13-8","-",,
"camellia japonica seed oil aminopropanediol amides/esters","95163",,,,
"camellia japonica seed oil ethyl esters","95749",,,,
"camellia japonica seed oil triacetin esters","98682",,,,
"camellia japonica seed powder","89271",,,,
"camellia japonica seed water","89564",,,,
"camellia oleifera leaf extract","55215","94333-93-4","305-073-5",,
"camellia oleifera seed oil /hydrogenated camellia oleifera seed oil esters","86477","-","-",,
"camellia oleifera seed oil aminopropanediol amides/esters","95165",,,,
"camellia reticulata seed butter","87268","-","-",,
"camellia reticulata seed oil","82258","-","-",,
"camellia seed oil","86727","-","-",,
"camellia sinensis callus","97994",,,,
"camellia sinensis callus culture lysate","96236",,,,
"camellia sinensis callus extract","92184",,,,
"camellia sinensis catechins","55218","84650-60-2","283-519-7",,
"camellia sinensis leaf/panax ginseng root extract","94125",,,,
"camellia sinensis leaf/stalk extract","98511","84650-60-2 (generic)","283-519-7",,
"camellia sinensis leaf extract","55220","84650-60-2","283-519-7",,
"camellia sinensis leaf oil","55221","68916-73-4","-",,
"camellia sinensis leaf polysaccharide","94267",,,,
"camellia sinensis meristem cell culture extract","97378",,,,
"camellia sinensis polyphenols","98488",,,,
"camellia sinensis seedcake extract","98292",,,,
"camellia sinensis seedcoat powder","87270","84650-60-2","283-519-7",,
"camellia sinensis seed oil/palm oil aminopropanediol esters","85564","-","-",,
"camellia sinensis seed oil aminopropanediol amides/esters","95164","68916-73-4",,,
"camellia sinensis seed powder","89299",,,,
"camellia sinensis sprout extract","91152",,,,
"camel milk","91449",,,,
"camel milk extract","91450",,,,
"campanula punctata callus extract","97531",,,,
"campanula rotundifolia extract","93116",,,,
"camphanediol","82616","56614-57-4","-",,
"camphene","74934","565-00-4 / 79-92-5","209-275-3 / 201-234-8",,
"camphylcyclohexanol","74937","68877-29-2","272-556-4",,
"campomanesia lineatifolia fruit extract","90514",,,,
"campomanesia lineatifolia seed extract","92234",,,,
"campsis grandiflora flower extract","82276","-","-",,
"cananga odorata flower extract","55229","83863-30-3","281-092-1",,
"cananga odorata flower water","82825","83863-30-3","281-092-1",,
"cananga odorata leaf cell extract","90661",,,,
"cananga odorata macrophylla flower extract","39274","93686-30-7","297-681-1",,
"canarium commune gum oil","55231","97675-63-3","307-636-0",,
"canarium luzonicum gum extract","39277",,,,
"canarium luzonicum gum nonvolatiles","55233","8023-89-0","-",,
"canarium luzonicum gum oil","39278",,,,
"canarium luzonicum leaf extract","82253",,,,
"canarium ovatum fruit oil","98345",,,,
"canarium pimela leaf extract","55234",,,,
"canavalia ensiformis leaf extract","55235","93164-98-8","296-881-6",,
"canavalia gladiata extract","55057",,,,
"canavalia gladiata fruit extract","55058",,,,
"canavalia gladiata leaf/vine extract","82911","-","-",,
"canavalia gladiata pod extract","82831","-","-",,
"canavalia gladiata seed extract","55059",,,,
"candelilla/jojoba/rice bran polyglyceryl-3 esters","82338","-","-",,
"candelilla cera","32382","8006-44-8","232-347-0",,
"candelilla cera hydrocarbons","55060",,,,
"candelilla wax hydrocarbons","84368","-","-",,
"candida albicans/fritillaria verticillata bulb ferment extract","88013","-","-",,
"candida bombicola/butyrospermum parkii butter ferment filtrate","98521",,,,
"candida bombicola/camellia japonica seed oil ferment extract filtrate","98734",,,,
"candida bombicola/canola oil ferment extract","97282",,,,
"candida bombicola/madhuca longifolia seed oil ferment extract","91773",,,,
"candida bombicola/rapeseed seed oil ferment extract","91153",,,,
"candida utilis cell wall","96594",,,,
"cannabidiol - derived from extract or tincture or resin of cannabis","96287","13956-29-1",,,
"cannabidiol - synthetically produced","93486","13956-29-1",,,
"cannabigerol","98212","25654-31-3",,,
"cannabinoids","98211",,,,
"cannabinol","98213","521-35-7","689-788-0",,
"cannabisamidopropyl hydroxysultaine","98484",,,,
"cannabis sativa callus culture lysate extract","96783",,,,
"cannabis sativa callus extract","97173",,,,
"cannabis sativa callus lysate","97387",,,,
"cannabis sativa extract","98253",,,,
"cannabis sativa flower/leaf extract","98051","89958-21-4 (generic)","289-644-3",,
"cannabis sativa flower extract","96217",,,,
"cannabis sativa leaf/stem","98000",,,,
"cannabis sativa leaf/stem water","96790","89958-21-4","289-644-3",,
"cannabis sativa leaf extract","97599",,,,
"cannabis sativa seedcake","92883",,,,
"cannabis sativa seedcake powder","85312","89958-21-4","289-644-3",,
"cannabis sativa seed extract","83414","89958-21-4","289-644-3",,
"cannabis sativa seed oil","55065","89958-21-4","289-644-3",,
"cannabis sativa seed oil glycereth-8 esters","87271","-","-",,
"cannabis sativa seed oil peg-8 esters","55066","-","-",,
"cannabis sativa seed oleosomes","98631",,,,
"cannabis sativa seed water","97009","89958-21-4","289-644-3",,
"cannabis sativa sprout","97601",,,,
"cannabis sativa sprout extract","97707",,,,
"cannabis sativa stem extract","97198",,,,
"cannabis sativa stem powder","87272","89958-21-4","289-644-3",,
"cannabis seed oil dimer dilinoleyl esters/dimer dilinoleate copolymer","98360",,,,
"canna generalis rhizome extract","83049","-","-",,
"canna hybrid root extract","55063",,,,
"canna indica root extract","55064",,,,
"canolamidopropyl betaine","74798","223704-88-9",,,
"canolamidopropyl ethyldimonium ethosulfate","32389","223704-93-6",,,
"canola oil ethyl esters","96677",,,,
"canola oil glyceride","74797","226993-77-7","-",,
"canola oil unsaponifiables","55067",,,,
"canola sterols","55068",,,,
"cantharellus cibarius extract","90825",,,,
"capparis mitchellii leaf extract","96654","1417719-28-8",,,
"capparis moonii fruit extract","55069","93333-84-7","297-054-2",,
"capparis spinosa bud extract","94959","89958-23-6","289-646-4",,
"capparis spinosa flower extract","94942","89958-23-6","289-646-4",,
"caprae butyrum","32391","225233-90-0",,,
"caprae fat","87435","-","-",,
"caprae lac","32392","-","-",,
"capramide dea","32393","136-26-5","205-234-9",,
"capramidoethyl capramidopropyldimonium methosulfate","88229",,,,
"capric/pca glycerides","96994","85290-22-8",,,
"caprooyl phytosphingosine","85475","-","-",,
"caprooyl sphingosine","85474","-","-",,
"caprooyl tetrapeptide-3 amide","94578",,,,
"caproyl dipeptide-21 amide","90425","1321521-87-2",,,
"caproyl ethyl glucoside","32396","146599-18-0",,,
"caproyl sphingosine","32397","124753-97-5",,,
"caproyl tyrosine","55071",,,,
"caprylamide mea","95041","7112-02-9",,,
"capryl cannabis seedate","98356",,,,
"capryl dimethicone","83209","-","-",,
"capryleth-4","74809","27252-75-1",,,
"capryleth-4 carboxylic acid","74810","53563-70-5",,,
"capryleth-5","55072",,,,
"capryleth-6 carboxylic acid","74811","53563-70-5",,,
"capryleth-9 carboxylic acid","74812","53563-70-5",,,
"caprylhydroxamic acid","86262","7377-03-9","230-936-7",,
"capryl hydroxyethyl imidazoline","32398","37478-68-5","253-521-2",,
"caprylic/capric glycerides polyglyceryl-10 esters","92822",,,,
"caprylic/capric triglyceride peg-4 esters","74817","246864-39-1","-",,
"caprylic/pca glycerides","96995","94530-44-6",,,
"capryloyl/caproyl anhydro methyl glucamide","98164",,,,
"capryloyl/caproyl methyl glucamide","93168","1591782-62-5",,,
"capryloyl carnosine","91612","209681-12-9",,,
"capryloyl collagen amino acids","74850","161133-67-1",,,
"capryloyl dipeptide-17","91155",,,,
"capryloyl gold of pleasure amino acids","85534","-","-",,
"capryloyl heptapeptide-12","89318",,,,
"capryloyl heptapeptide-33","94627",,,,
"capryloyl hexapeptide-74 d-methionine amide","98064",,,,
"capryloyl hydrolyzed collagen","74852","161133-67-1",,,
"capryloyl hydrolyzed keratin","74853","161133-65-9",,,
"capryloyl keratin amino acids","74854","161133-65-9",,,
"capryloyl methionine/silk amino acids methyl esters","89242",,,,
"capryloyl octapeptide-33 d-methionine","95000",,,,
"capryloyloxypalmitoyl capryloyloxypalmitamide mea","93169","1597432-40-0",,,
"capryloyl pea amino acids","32419","226993-79-9",,,
"capryloyl pentapeptide-26","87274","-","-",,
"capryloyl quinoa amino acids","32420","226993-80-2",,,
"capryloyl sarcosine","96138","2421-32-1",,,
"capryloyl serine/silk amino acid methyl esters","55134",,,,
"capryloyl sh-nonapeptide-6","95714",,,,
"capryloyl silk amino acids","32422","227200-38-6",,,
"capryloyl tetrapeptide-60 norleucyl tyrosyl d-methionine","94999",,,,
"capryl sultaine","91956","15163-36-7",,,
"caprylyl 3-glyceryl ascorbate","89478","1120360-26-0",,,
"caprylyl alcohol","74814","111-87-5","203-917-6",,
"caprylylalkonium chloride","83560","959-55-7","213-502-1",,
"caprylyl butyrate","74859","110-39-4","203-762-4",,
"caprylyl caprylate","86714","2306-88-9","218-980-5",,
"caprylyl caprylate/caprate","89985",,,,
"caprylyl eicosenoate","55137",,,,
"caprylyl gallate","92290","1034-01-1","213-853-0 (I)",,
"caprylyl glycol linseedate","90362",,,,
"caprylyl hydroxybutyramide","95241","74042-18-5",,,
"caprylyl hydroxyethyl imidazoline","32425","36060-61-4","252-853-5",,
"caprylyl lauroyl argininamide hcl","94871",,,,
"caprylyl lauroyl argininamide sulfate","94872",,,,
"caprylyloxyphenylamino dimethyltetrahydro benzothiazine carboxylic acid","93535","1629023-01-3",,,
"caprylyl pyrrolidone","74862","2687-94-7","403-700-8",,
"caprylyl trisiloxane","97046","17955-88-3","241-881-3",,
"capsaicinyl glucosides","93899",,,,
"capsaicinyl succinoyl tripeptide-1","91157",,,,
"capsaicinyl succinoyl tripeptide-35","91159",,,,
"capsaicinyl succinoyl tripeptide-7","91158",,,,
"capsanthin/capsorubin","32428","465-42-9","207-364-1",,
"capsella bursa-pastoris extract","55143","84604-19-3","283-297-1",,
"capsella bursa-pastoris sprout water","84175","84604-19-3","283-297-1",,
"capsicum annuum callus culture extract","86896","84625-29-6","283-403-6",,
"capsicum annuum fruit juice","55145","84625-29-6","283-403-6",,
"capsicum annuum fruit meristem cell","90786",,,,
"capsicum annuum leaf extract","86895","84625-29-6","283-403-6",,
"capsicum frutescens fruit extract","55149","85940-30-3","288-920-0",,
"capsicum frutescens fruit powder","55150","85940-30-3","288-920-0",,
"capsosiphon fulvescens extract","55152",,,,
"captan","84500","133-06-2","205-087-0",,
"caragana sinica flower extract","85895","-","-",,
"caragana sinica root extract","85894","-","-",,
"caralluma fimbriata stem extract","82768","-","-",,
"carapa guaianensis oil peg-8 esters","85850","-","-",,
"carapa guaianensis oil polyglyceryl-6 esters","85644","-","-",,
"carapa guaianensis seed powder","83343","352458-32-3 / 906347-26-0","- / -",,
"carapa procera seed oil","86856","1053241-46-5","-",,
"carbenia benedicta extract","74868","84603-57-6","283-258-9",,
"carbomer/papain crosspolymer","88278","1203594-64-2","-",,
"carbonado extract","91934",,,,
"carbon dioxide","32439","124-38-9","204-696-9",,
"carbon fiber","83261","-","-",,
"carboxybutyl chitosan","74822","235783-75-2","-",,
"carboxydecyl dimethicone","96752","106215-02-5","642-956-7",,
"carboxyethyl acrylate","87074","24615-84-7","246-359-9",,
"carboxylesterase","94218","9016-18-6","232-773-7",,
"carboxymethyl caprooyl chitosan","90261",,,,
"carboxymethyl cellulose acetate butyrate","55075",,,,
"carboxymethyl chitosan","74825","83512-85-0",,,
"carboxymethyl chitosan myristamide","82867","-","-",,
"carboxymethyl dextran","74827","9044-05-7","-",,
"carboxymethyl disulfide keratin","89969",,,,
"carboxymethyl hydroxypropyl guar","74829","68130-15-4","-",,
"carboxymethyl isostearamidopropyl morpholine","74830","247214-39-7",,,
"carboxymethyl levan","89768",,,,
"cardamine flexuosa extract","98241",,,,
"carex dispalata extract","98811",,,,
"carex humillis root extract","55077",,,,
"carex kobomugi extract","83350","-","-",,
"carex meyeriana leaf/stem extract","88243","-","-",,
"carica papaya fruit juice","55080","84012-30-6","281-675-0",,
"carica papaya fruit water","55081","84012-30-6","281-675-0",,
"carica papaya leaf extract","32451","84012-30-6","281-675-0",,
"carlina acaulis hairy root culture extract","88137","85940-33-6","288-923-7",,
"carlina acaulis root extract","55083","85940-33-6","288-923-7",,
"carnauba acid wax glycol esters","97482",,,,
"carnegiea gigantea flower extract","82946","-","-",,
"carnitine fumarate","90870","220349-64-4",,,
"carnitine hcl","55085","6645-46-1","229-663-6",,
"carnitine hydroxycitrate","55086","-","-",,
"carnitine isomerized linoleate","86145","-","-",,
"carnitinyl propionate hcl","96569","119793-66-7","922-939-3",,
"carnosic acid","55087","3650-09-7",,,
"carotenoids","55089",,,,
"carpinus betulus bud extract","85351","91745-92-5","294-763-9",,
"carpinus betulus flower extract","85350","91745-92-5","294-763-9",,
"carpinus cordata leaf extract","95482",,,,
"carpinus laxiflora stem extract","82926","-","-",,
"carpinus tschonoskii leaf extract","82923","-","-",,
"carpinus tschonoskii stem extract","82922","-","-",,
"carpinus turczaninowii extract","93862",,,,
"carpobrotus edulis extract","85314","-","-",,
"carpobrotus edulis water","85315","-","-",,
"carpopeltis affinis extract","92200",,,,
"carpotroche brasiliensis seed acid","88231","-","-",,
"carpotroche brasiliensis seed butter","83813","-","-",,
"carpotroche brasiliensis seed oil","55090","-","-",,
"carpronium chloride","32453","13254-33-6","236-243-6",,
"carthamus tinctorius bud extract","84960","-","-",,
"carthamus tinctorius callus extract","94804","223749-52-8","607-037-7",,
"carthamus tinctorius extract","95541","223749-52-8","607-037-7",,
"carthamus tinctorius flower","55091",,,,
"carthamus tinctorius flower extract","55092","223749-52-8",,,
"carthamus tinctorius flower juice","91359",,,,
"carthamus tinctorius flower powder","55093",,,,
"carthamus tinctorius flower water","84158","223749-52-8","-",,
"carthamus tinctorius leaf extract","97700","223749-52-8 (generic)","607-037-7",,
"carthamus tinctorius seedcake extract","82331","-","-",,
"carthamus tinctorius seed extract","55095","223749-52-8",,,
"carthamus tinctorius sprout extract","91335",,,,
"carum carvi fruit extract","39282","85940-31-4","288-921-6",,
"carum carvi fruit oil","74834","85940-31-4 / 8000-42-8","288-921-6 / -",,
"carum carvi seed extract","55097","85940-31-4","288-921-6",,
"carum carvi seed oil","74835","235433-20-2 / 8000-42-8","*607-245-8 / -",,
"carum copticum fruit extract","83315","8001-99-8","-",,
"carum petroselinum extract","32461","84012-33-9","281-677-1",,
"carum petroselinum herb extract","39284","84012-33-9","281-677-1",,
"carvacrol","39285","499-75-2","207-889-6",,
"carveol","39286","99-48-9","202-757-4",,
"carvone","74838","6485-40-1 / 99-49-0 / 2244-16-8","229-352-5 / 218-827-2 / 202-759-5",,
"carvone oxide","41366","33204-74-9","251-405-6",,
"carvyl acetate","94442","97-42-7",,,
"carya illinoensis seed extract","84040","129893-27-2","-",,
"carya illinoensis shell extract","55099","129893-27-2","-",,
"carya illinoensis shell powder","74839","246166-03-0 / 129893-27-2","- / -",,
"carya illinoinensis seed extract","93819",,,,
"carya illinoinensis seed oil","93748","129893-27-2",,,
"carya illinoinensis shell extract","93786",,,,
"carya illinoinensis shell powder","93737",,,,
"carya ovata bark extract","88748","91723-46-5","294-553-7",,
"caryocar brasiliense fruit/leaf extract","90270","394238-03-0",,,
"caryocar coriaceum seed oil","55101",,,,
"caryocar villosum kernel oil","87106","-","-",,
"caryodendron orinocense nut oil","89637",,,,
"caryodendron orinocense seed oil","91259","1453469-52-7",,,
"caryophyllene acetate","39293","32214-91-8","250-960-1",,
"caryophyllene alcohol","39294","56747-96-7","260-364-3",,
"caryophyllene oxide","39295","1139-30-6","214-519-7",,
"caryopteris incana callus culture extract","89342",,,,
"caryopteris incana seed extract","93380",,,,
"casearia sylvestris extract","82591","223748-16-1","-",,
"casearia sylvestris leaf extract","55102","223748-16-1","-",,
"casein extract","55103",,,,
"cassia angustifolia leaf","55105","85187-05-9","286-092-5",,
"cassia angustifolia leaf extract","55106","85187-05-9","286-092-5",,
"cassia angustifolia seed extract","74841","85187-05-9","286-092-5",,
"cassia angustifolia seed polysaccharide","55107","85187-05-9","286-092-5",,
"cassia artemisioides leaf/stem extract","95822",,,,
"cassia auriculata leaf extract","96647","97593-53-8","307-359-5",,
"cassia auriculata leaf powder","74842","97593-53-8","307-359-5",,
"cassia fistula flower extract","94930",,,,
"cassia fistula fruit extract","55108","84848-75-9","284-307-7",,
"cassia gum","83512","-","-",,
"cassia italica leaf extract","55109","85085-71-8","285-393-9",,
"cassia italica leaf powder","83986","85085-71-8","285-393-9",,
"cassia mimosoides branch/leaf extract","83689","-","-",,
"cassia mimosoides extract","55110","-","-",,
"cassia nomame extract","82984","-","-",,
"cassia nomame leaf/stem powder","88666","-","-",,
"cassia obtusifolia seed extract","55111","93348-59-5","297-202-6",,
"cassia obtusifolia seed powder","88662","93348-59-5","297-202-6",,
"cassia senna leaf extract","55112","92202-21-6","296-053-4",,
"cassia tora seed extract","55113","93348-59-5","297-202-6",,
"cassytha filiformis powder","93604",,,,
"castanea crenata branch/leaf extract","83970","-","-",,
"castanea crenata cupule extract","91472",,,,
"castanea crenata flower extract","87275","-","-",,
"castanea crenata pellicle extract","92989",,,,
"castanea crenata pellicle powder","88314","-","-",,
"castanea crenata shell powder","84956","-","-",,
"castanea sativa bark extract","55115","84695-99-8","283-619-0",,
"castanea sativa bud extract","94421","84695-99-8",,,
"castanea sativa flower extract","84763","84695-99-8","283-619-0",,
"castanea sativa pericarp extract","84764","84695-99-8","283-619-0",,
"castanea sativa seed extract","55117","84695-99-8","283-619-0",,
"castanea sativa shell extract","55118","84695-99-8","283-619-0",,
"castanopsis cuspidata bark extract","90831",,,,
"castanopsis cuspidata leaf extract","98266",,,,
"castanopsis cuspidata stem extract","82937","-","-",,
"castor/olive oil esters","55123",,,,
"castoreum oil","39296","8023-83-4","232-427-5",,
"castor oil","92470","68956-68-3","273-313-5",,
"castor oil benzoate","74843","225927-34-4",,,
"castor oil bis-hydroxypropyl dimethicone esters","55121","-","-",,
"castor oil hydrogenated ethoxylated","39297","61788-85-0","500-147-5",,
"castor oil polyglyceryl-6 esters","88367","-","-",,
"castor oil propanediol esters","98576",,,,
"castor seed oil aminopropanediol amides/esters","95171",,,,
"casuarina stricta branch/leaf extract","85879","-","-",,
"casuarina stricta leaf extract","85878","-","-",,
"catalase","84487","9001-05-2","232-577-1",,
"catalpa bignonioides leaf extract","86980","89958-33-8","289-656-9",,
"catalpa ovata bark/leaf extract","55125",,,,
"catalpa ovata fruit extract","55126",,,,
"catharanthus roseus callus conditioned media","98618",,,,
"catharanthus roseus callus culture extract","98617",,,,
"cattleya extract","55127",,,,
"caulerpa lentillifera/enteromorpha prolifera extract","96055",,,,
"caulerpa lentillifera extract","86185","-","-",,
"caulerpa microphysa extract","97293",,,,
"caulerpa okamurae extract","92175",,,,
"caulerpa racemosa extract","55128","-","-",,
"caulerpa taxifolia extract","32475","223749-77-7","-",,
"caulophyllum thalictroides rhizome/root","55130","84929-23-7","284-507-4",,
"caulophyllum thalictroides root extract","97212",,,,
"caviar oil","85282","-","-",,
"caviar water","93069",,,,
"cayaponia tayuya root extract","55132",,,,
"cd alcohol 19","88002","-","-",,
"ceanothus americanus extract","32477","91771-46-9","294-937-4",,
"cecropia obtusa bark extract","88104","-","-",,
"cecropia peltata leaf extract","98290",,,,
"cedrela odorata wood extract","39298","93062-64-7","296-819-8",,
"cedrela odorata wood oil","39299","93062-64-7","296-819-8",,
"cedrela sinensis leaf extract","91475",,,,
"cedrela sinensis sprout extract","87016","-","-",,
"cedrene","39300","11028-42-5","234-257-7",,
"cedrenol","39303","28231-03-0","248-917-7",,
"cedrenone","39304","30960-39-5","250-405-3",,
"cedrenyl acetate","39305","1405-92-1","215-789-9",,
"cedrol","75067","77-53-2","201-035-6",,
"cedrol methyl ether","39307","19870-74-7","243-384-7",,
"cedrus atlantica callus extract","94278","92201-55-3",,,
"cedrus atlantica leaf extract","84592","92201-55-3","295-985-9",,
"cedrus deodara seed extract","92108",,,,
"cedrus deodara wood extract","86006","91771-47-0","294-939-5",,
"cedrus libani bark extract","85946","89997-33-1","289-666-3",,
"cedrus libani bud extract","85947","89997-33-1","289-666-3",,
"cedryl acetate","39308","77-54-3","201-036-1",,
